categories,name,rating,review_count,location,coordinates,city
"['Art Classes', 'Paint & Sip']",Painting Picnik,5.0,3,"{'address1': '111 NW 5th St', 'address2': None, 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33301', 'country': 'US', 'state': 'FL', 'display_address': ['111 NW 5th St', 'Fort Lauderdale, FL 33301']}","{'latitude': 26.1278776, 'longitude': -80.1450931}",Miami
['Supernatural Readings'],Cherokee Billie Spiritual Advisor,5.0,3,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Doral', 'zip_code': '33198', 'country': 'US', 'state': 'FL', 'display_address': ['Doral, FL 33198']}","{'latitude': 25.79875, 'longitude': -80.32901}",Miami
"['Coffee & Tea', 'Music Venues', 'Tea Rooms']",Tea & Poets,4.5,138,"{'address1': '5701 Sunset Dr', 'address2': 'Unit 126', 'address3': '', 'city': 'South Miami', 'zip_code': '33143', 'country': 'US', 'state': 'FL', 'display_address': ['5701 Sunset Dr', 'Unit 126', 'South Miami, FL 33143']}","{'latitude': 25.705632299808, 'longitude': -80.2860339300594}",Miami
"['Art Classes', 'Paint & Sip']",Painting with a Twist - Miami Lakes,4.5,51,"{'address1': '15100 NW 67th Ave', 'address2': 'Ste 111', 'address3': '', 'city': 'Miami Lakes', 'zip_code': '33014', 'country': 'US', 'state': 'FL', 'display_address': ['15100 NW 67th Ave', 'Ste 111', 'Miami Lakes, FL 33014']}","{'latitude': 25.91068, 'longitude': -80.30974}",Miami
['Art Galleries'],Art Wynwood,4.5,11,"{'address1': '14th St NE', 'address2': '', 'address3': 'One Herald Plaza', 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['14th St NE', 'One Herald Plaza', 'Miami, FL 33132']}","{'latitude': 25.8045422987281, 'longitude': -80.1930512380982}",Miami
['Art Galleries'],Art Fusion Galleries,4.5,9,"{'address1': '2085 NW 2nd Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['2085 NW 2nd Ave', 'Miami, FL 33127']}","{'latitude': 25.79653, 'longitude': -80.19869}",Miami
"['Venues & Event Spaces', 'Country Clubs']",Lauderdale Yacht Club,4.5,16,"{'address1': '1725 SE 12th St', 'address2': '', 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33316', 'country': 'US', 'state': 'FL', 'display_address': ['1725 SE 12th St', 'Fort Lauderdale, FL 33316']}","{'latitude': 26.1083087855937, 'longitude': -80.1245133495109}",Miami
['Cinema'],Coral Gables Art Cinema,4.5,71,"{'address1': '260 Aragon Ave', 'address2': '', 'address3': '', 'city': 'Coral Gables', 'zip_code': '33134', 'country': 'US', 'state': 'FL', 'display_address': ['260 Aragon Ave', 'Coral Gables, FL 33134']}","{'latitude': 25.750342, 'longitude': -80.2598877}",Miami
['Art Museums'],Rubell Museum,4.5,53,"{'address1': '1100 NW 23rd St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['1100 NW 23rd St', 'Miami, FL 33127']}","{'latitude': 25.798687, 'longitude': -80.214271}",Miami
"['Cocktail Bars', 'Music Venues']",The Scape Goat,4.5,100,"{'address1': '100 Collins Ave', 'address2': 'CU4', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['100 Collins Ave', 'CU4', 'Miami Beach, FL 33139']}","{'latitude': 25.7698, 'longitude': -80.13418}",Miami
"['Cinema', 'Performing Arts']",Teatro Trail / Trail Theater,4.5,30,"{'address1': '3715 SW 8th St', 'address2': '', 'address3': '', 'city': 'Coral Gables', 'zip_code': '33134', 'country': 'US', 'state': 'FL', 'display_address': ['3715 SW 8th St', 'Coral Gables, FL 33134']}","{'latitude': 25.76491, 'longitude': -80.25549}",Miami
"['Paint & Sip', 'Art Classes', 'Kids Activities']",Pop Up Paint Shop,4.5,10,"{'address1': '5701 Sunset Dr S', 'address2': 'Ste 216', 'address3': '', 'city': 'Miami', 'zip_code': '33143', 'country': 'US', 'state': 'FL', 'display_address': ['5701 Sunset Dr S', 'Ste 216', 'Miami, FL 33143']}","{'latitude': 25.70566, 'longitude': -80.28636}",Miami
"['Parks', 'Rafting/Kayaking', 'Museums']",Anne Kolb Nature Center,4.5,76,"{'address1': '751 Sheridan St', 'address2': '', 'address3': '', 'city': 'Hollywood', 'zip_code': '33019', 'country': 'US', 'state': 'FL', 'display_address': ['751 Sheridan St', 'Hollywood, FL 33019']}","{'latitude': 26.038609, 'longitude': -80.119605}",Miami
['Art Galleries'],EVL World,4.5,18,"{'address1': '101 NW 36th St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['101 NW 36th St', 'Miami, FL 33127']}","{'latitude': 25.8105769, 'longitude': -80.1979658}",Miami
"['Supernatural Readings', 'Spiritual Shop', 'Reiki']",Luna Bohemia,4.5,48,"{'address1': '8233 S Dixie Hwy', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33143', 'country': 'US', 'state': 'FL', 'display_address': ['8233 S Dixie Hwy', 'Miami, FL 33143']}","{'latitude': 25.6934674656328, 'longitude': -80.3014257159019}",Miami
['Art Galleries'],LIK Fine Art Miami,4.5,34,"{'address1': '655 Lincoln Rd', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['655 Lincoln Rd', 'Miami Beach, FL 33139']}","{'latitude': 25.7908149, 'longitude': -80.1353816}",Miami
['Cinema'],Cinema Paradiso,4.5,17,"{'address1': '2008 Hollywood Blvd', 'address2': '', 'address3': '', 'city': 'Hollywood', 'zip_code': '33020', 'country': 'US', 'state': 'FL', 'display_address': ['2008 Hollywood Blvd', 'Hollywood, FL 33020']}","{'latitude': 26.011089, 'longitude': -80.147415}",Miami
